# Time (s),Altitude (m),Vertical velocity (m/s),Drag coefficient (),Air density (g/cm³),Mach number (),Reference area (cm²)
3.015,207.7342,137.4708,0.4843,0.0012,0.4066,124.6898
3.0175,208.078,137.5754,0.4844,0.0012,0.4069,124.6898
3.02,208.4221,137.68,0.4844,0.0012,0.4072,124.6898
3.0225,208.7664,137.7845,0.4845,0.0012,0.4075,124.6898
3.025,209.111,137.889,0.4846,0.0012,0.4078,124.6898
3.0275,209.4559,137.9934,0.4846,0.0012,0.4082,124.6898
3.03,209.801,138.0979,0.4847,0.0012,0.4085,124.6898
3.0325,210.1464,138.2022,0.4847,0.0012,0.4088,124.6898
3.035,210.492,138.3066,0.4848,0.0012,0.4091,124.6898
3.0375,210.8379,138.4109,0.4848,0.0012,0.4094,124.6898
3.04,211.184,138.5152,0.4849,0.0012,0.4097,124.6898
3.0425,211.5305,138.6194,0.4849,0.0012,0.41,124.6898
3.045,211.8771,138.7236,0.485,0.0012,0.4103,124.6898
3.0475,212.2241,138.8277,0.485,0.0012,0.4106,124.6898
3.05,212.5713,138.9318,0.4851,0.0012,0.4109,124.6898
3.0525,212.9187,139.0359,0.4852,0.0012,0.4113,124.6898
3.055,213.2665,139.14,0.4852,0.0012,0.4116,124.6898
3.0575,213.6144,139.2439,0.4853,0.0012,0.4119,124.6898
3.06,213.9627,139.3479,0.4853,0.0012,0.4122,124.6898
3.0625,214.3112,139.4518,0.4854,0.0012,0.4125,124.6898
3.065,214.6599,139.5557,0.4854,0.0012,0.4128,124.6898
3.0675,215.009,139.6595,0.4855,0.0012,0.4131,124.6898
3.07,215.3582,139.7633,0.4855,0.0012,0.4134,124.6898
3.0725,215.7078,139.8671,0.4856,0.0012,0.4137,124.6898
3.075,216.0576,139.9708,0.4857,0.0012,0.414,124.6898
3.0775,216.4076,140.0745,0.4857,0.0012,0.4144,124.6898
3.08,216.7579,140.1782,0.4858,0.0012,0.4147,124.6898
3.0825,217.1085,140.2818,0.4858,0.0012,0.415,124.6898
3.085,217.4594,140.3854,0.4859,0.0012,0.4153,124.6898
3.0875,217.8104,140.4889,0.4859,0.0012,0.4156,124.6898
3.09,218.1618,140.5924,0.486,0.0012,0.4159,124.6898
3.0925,218.5134,140.6958,0.486,0.0012,0.4162,124.6898
3.095,218.8653,140.7993,0.4861,0.0012,0.4165,124.6898
3.0975,219.2174,140.9026,0.4862,0.0012,0.4168,124.6898
3.1,219.5698,141.006,0.4862,0.0012,0.4171,124.6898
3.1025,219.9224,141.1093,0.4863,0.0012,0.4174,124.6898
3.105,220.2753,141.2126,0.4863,0.0012,0.4178,124.6898
3.1075,220.6285,141.3158,0.4864,0.0012,0.4181,124.6898
3.11,220.9819,141.419,0.4864,0.0012,0.4184,124.6898
3.1125,221.3356,141.5222,0.4865,0.0012,0.4187,124.6898
3.115,221.6895,141.6253,0.4865,0.0012,0.419,124.6898
3.1175,222.0437,141.7284,0.4866,0.0012,0.4193,124.6898
3.12,222.3982,141.8315,0.4867,0.0012,0.4196,124.6898
3.1225,222.7529,141.9345,0.4867,0.0012,0.4199,124.6898
3.125,223.1078,142.0375,0.4868,0.0012,0.4202,124.6898
3.1275,223.4631,142.1405,0.4868,0.0012,0.4206,124.6898
3.13,223.8185,142.2434,0.4869,0.0012,0.4209,124.6898
3.1325,224.1743,142.3463,0.4869,0.0012,0.4212,124.6898
3.135,224.5303,142.4492,0.487,0.0012,0.4215,124.6898
3.1375,224.8865,142.552,0.4871,0.0012,0.4218,124.6898
3.14,225.243,142.6548,0.4871,0.0012,0.4221,124.6898
3.1425,225.5998,142.7576,0.4872,0.0012,0.4224,124.6898
3.145,225.9568,142.8603,0.4872,0.0012,0.4227,124.6898
3.1475,226.3141,142.963,0.4873,0.0012,0.423,124.6898
3.15,226.6716,143.0657,0.4873,0.0012,0.4233,124.6898
3.1525,227.0294,143.1684,0.4874,0.0012,0.4236,124.6898
3.155,227.3875,143.271,0.4875,0.0012,0.424,124.6898
3.1575,227.7458,143.3735,0.4875,0.0012,0.4243,124.6898
3.16,228.1043,143.4761,0.4876,0.0012,0.4246,124.6898
3.1625,228.4632,143.5786,0.4876,0.0012,0.4249,124.6898
3.165,228.8222,143.6811,0.4877,0.0012,0.4252,124.6898
3.1675,229.1816,143.7835,0.4877,0.0012,0.4255,124.6898
3.17,229.5412,143.8859,0.4878,0.0012,0.4258,124.6898
3.1725,229.901,143.9883,0.4878,0.0012,0.4261,124.6898
3.175,230.2611,144.0906,0.4879,0.0012,0.4264,124.6898
3.1775,230.6215,144.193,0.488,0.0012,0.4267,124.6898
3.18,230.9821,144.2952,0.488,0.0012,0.427,124.6898
3.1825,231.3429,144.3975,0.4881,0.0012,0.4273,124.6898
3.185,231.704,144.4997,0.4881,0.0012,0.4276,124.6898
3.1875,232.0654,144.6019,0.4882,0.0012,0.4279,124.6898
3.19,232.4271,144.7041,0.4882,0.0012,0.4282,124.6898
3.1925,232.7889,144.8062,0.4883,0.0012,0.4285,124.6898
3.195,233.1511,144.9083,0.4884,0.0012,0.4289,124.6898
3.1975,233.5135,145.0103,0.4884,0.0012,0.4292,124.6898
3.2,233.8761,145.1124,0.4885,0.0012,0.4295,124.6898
3.2025,234.239,145.2144,0.4885,0.0012,0.4298,124.6898
3.205,234.6022,145.3164,0.4886,0.0012,0.4301,124.6898
3.2075,234.9656,145.4183,0.4886,0.0012,0.4304,124.6898
3.21,235.3293,145.5202,0.4887,0.0012,0.4307,124.6898
3.2125,235.6932,145.6221,0.4888,0.0012,0.431,124.6898
3.215,236.0574,145.724,0.4888,0.0012,0.4313,124.6898
3.2175,236.4219,145.8258,0.4889,0.0012,0.4316,124.6898
3.22,236.7865,145.9276,0.4889,0.0012,0.4319,124.6898
3.2225,237.1515,146.0293,0.489,0.0012,0.4322,124.6898
3.225,237.5167,146.1311,0.489,0.0012,0.4325,124.6898
3.2275,237.8821,146.2328,0.4891,0.0012,0.4328,124.6898
3.23,238.2479,146.3344,0.4892,0.0012,0.4331,124.6898
3.2325,238.6138,146.4361,0.4892,0.0012,0.4334,124.6898
3.235,238.98,146.5377,0.4893,0.0012,0.4337,124.6898
3.2375,239.3465,146.6393,0.4893,0.0012,0.434,124.6898
3.24,239.7132,146.7408,0.4894,0.0012,0.4343,124.6898
3.2425,240.0802,146.8424,0.4894,0.0012,0.4346,124.6898
3.245,240.4474,146.9439,0.4895,0.0012,0.4349,124.6898
3.2475,240.8149,147.0453,0.4896,0.0012,0.4352,124.6898
3.25,241.1827,147.1468,0.4896,0.0012,0.4355,124.6898
3.2525,241.5507,147.2482,0.4897,0.0012,0.4358,124.6898
3.255,241.9189,147.3496,0.4897,0.0012,0.4361,124.6898
3.2575,242.2874,147.4509,0.4898,0.0012,0.4364,124.6898
3.26,242.6562,147.5523,0.4898,0.0012,0.4367,124.6898
3.2625,243.0252,147.6536,0.4899,0.0012,0.437,124.6898
3.265,243.3944,147.7549,0.49,0.0012,0.4373,124.6898
3.2675,243.7639,147.8561,0.49,0.0012,0.4376,124.6898
3.27,244.1337,147.9574,0.4901,0.0012,0.4379,124.6898
3.2725,244.5037,148.0586,0.4901,0.0012,0.4383,124.6898
3.275,244.874,148.1598,0.4902,0.0012,0.4386,124.6898
3.2775,245.2445,148.2609,0.4903,0.0012,0.4389,124.6898
3.28,245.6153,148.3621,0.4903,0.0012,0.4392,124.6898
3.2825,245.9863,148.4632,0.4904,0.0012,0.4395,124.6898
3.285,246.3576,148.5642,0.4904,0.0012,0.4398,124.6898
3.2875,246.7292,148.6653,0.4905,0.0012,0.4401,124.6898
3.29,247.101,148.7663,0.4905,0.0012,0.4404,124.6898
3.2925,247.473,148.8673,0.4906,0.0012,0.4407,124.6898
3.295,247.8453,148.9683,0.4907,0.0012,0.441,124.6898
3.2975,248.2178,149.0692,0.4907,0.0012,0.4413,124.6898
3.3,248.5906,149.1702,0.4908,0.0012,0.4416,124.6898
3.3025,248.9637,149.2711,0.4908,0.0012,0.4419,124.6898
3.305,249.337,149.3719,0.4909,0.0012,0.4422,124.6898
3.3075,249.7105,149.4728,0.491,0.0012,0.4425,124.6898
3.31,250.0844,149.5736,0.491,0.0012,0.4428,124.6898
3.3125,250.4584,149.6744,0.4911,0.0012,0.4431,124.6898
3.315,250.8327,149.7751,0.4911,0.0012,0.4434,124.6898
3.3175,251.2073,149.8759,0.4912,0.0012,0.4437,124.6898
3.32,251.5821,149.9766,0.4912,0.0012,0.444,124.6898
3.3225,251.9572,150.0772,0.4913,0.0012,0.4443,124.6898
3.325,252.3325,150.1779,0.4914,0.0012,0.4446,124.6898
3.3275,252.7081,150.2785,0.4914,0.0012,0.4449,124.6898
3.33,253.0839,150.3791,0.4915,0.0012,0.4452,124.6898
3.3325,253.46,150.4797,0.4915,0.0012,0.4455,124.6898
3.335,253.8363,150.5802,0.4916,0.0012,0.4458,124.6898
3.3375,254.2129,150.6807,0.4917,0.0012,0.4461,124.6898
3.34,254.5897,150.7812,0.4917,0.0012,0.4464,124.6898
3.3425,254.9668,150.8816,0.4918,0.0012,0.4467,124.6898
3.345,255.3441,150.9821,0.4918,0.0012,0.447,124.6898
3.3475,255.7217,151.0825,0.4919,0.0012,0.4473,124.6898
3.35,256.0995,151.1828,0.492,0.0012,0.4476,124.6898
3.3525,256.4776,151.2831,0.492,0.0012,0.4479,124.6898
3.355,256.8559,151.3834,0.4921,0.0012,0.4482,124.6898
3.3575,257.2345,151.4837,0.4921,0.0012,0.4485,124.6898
3.36,257.6133,151.584,0.4922,0.0012,0.4488,124.6898
3.3625,257.9924,151.6842,0.4923,0.0012,0.4491,124.6898
3.365,258.3718,151.7843,0.4923,0.0012,0.4494,124.6898
3.3675,258.7513,151.8845,0.4924,0.0012,0.4497,124.6898
3.37,259.1312,151.9846,0.4924,0.0012,0.45,124.6898
3.3725,259.5113,152.0847,0.4925,0.0012,0.4503,124.6898
3.375,259.8916,152.1848,0.4926,0.0012,0.4506,124.6898
3.3775,260.2722,152.2848,0.4926,0.0012,0.4509,124.6898
3.38,260.653,152.3848,0.4927,0.0012,0.4512,124.6898
3.3825,261.0341,152.4848,0.4927,0.0012,0.4515,124.6898
3.385,261.4155,152.5847,0.4928,0.0012,0.4518,124.6898
3.3875,261.797,152.6846,0.4929,0.0012,0.4521,124.6898
3.39,262.1789,152.7844,0.4929,0.0012,0.4524,124.6898
3.3925,262.561,152.8843,0.493,0.0012,0.4527,124.6898
3.395,262.9433,152.9841,0.493,0.0012,0.453,124.6898
3.3975,263.3259,153.0838,0.4931,0.0012,0.4533,124.6898
3.4,263.7087,153.1836,0.4932,0.0012,0.4536,124.6898
3.4025,264.0918,153.2833,0.4932,0.0012,0.4539,124.6898
3.405,264.4751,153.3829,0.4933,0.0012,0.4542,124.6898
3.4075,264.8587,153.4825,0.4934,0.0012,0.4545,124.6898
3.41,265.2425,153.5821,0.4934,0.0012,0.4548,124.6898
3.4125,265.6266,153.6816,0.4935,0.0012,0.4551,124.6898
3.415,266.011,153.7811,0.4935,0.0012,0.4554,124.6898
3.4175,266.3955,153.8806,0.4936,0.0012,0.4557,124.6898
3.42,266.7804,153.98,0.4937,0.0012,0.456,124.6898
3.4225,267.1654,154.0794,0.4937,0.0012,0.4563,124.6898
3.425,267.5508,154.1787,0.4938,0.0012,0.4565,124.6898
3.4275,267.9363,154.278,0.4938,0.0012,0.4568,124.6898
3.43,268.3221,154.3773,0.4939,0.0012,0.4571,124.6898
3.4325,268.7082,154.4765,0.494,0.0012,0.4574,124.6898
3.435,269.0945,154.5757,0.494,0.0012,0.4577,124.6898
3.4375,269.4811,154.6748,0.4941,0.0012,0.458,124.6898
3.44,269.8679,154.7739,0.4941,0.0012,0.4583,124.6898
3.4425,270.255,154.873,0.4942,0.0012,0.4586,124.6898
3.445,270.6423,154.972,0.4943,0.0012,0.4589,124.6898
3.4475,271.0298,155.0709,0.4943,0.0012,0.4592,124.6898
3.45,271.4176,155.1699,0.4944,0.0012,0.4595,124.6898
3.4525,271.8057,155.2687,0.4945,0.0012,0.4598,124.6898
3.455,272.194,155.3676,0.4945,0.0012,0.4601,124.6898
3.4575,272.5825,155.4664,0.4946,0.0012,0.4604,124.6898
3.46,272.9713,155.5652,0.4946,0.0012,0.4607,124.6898
3.4625,273.3603,155.6639,0.4947,0.0012,0.461,124.6898
3.465,273.7496,155.7626,0.4948,0.0012,0.4613,124.6898
3.4675,274.1391,155.8612,0.4948,0.0012,0.4616,124.6898
3.47,274.5289,155.9598,0.4949,0.0012,0.4619,124.6898
3.4725,274.9189,156.0584,0.495,0.0012,0.4621,124.6898
3.475,275.3092,156.1569,0.495,0.0012,0.4624,124.6898
3.4775,275.6997,156.2554,0.4951,0.0012,0.4627,124.6898
3.48,276.0905,156.3538,0.4951,0.0012,0.463,124.6898
3.4825,276.4815,156.4522,0.4952,0.0012,0.4633,124.6898
3.485,276.8728,156.5506,0.4953,0.0012,0.4636,124.6898
3.4875,277.2643,156.6489,0.4953,0.0012,0.4639,124.6898
3.49,277.656,156.7472,0.4954,0.0012,0.4642,124.6898
3.4925,278.048,156.8454,0.4955,0.0012,0.4645,124.6898
3.495,278.4402,156.9436,0.4955,0.0012,0.4648,124.6898
3.4975,278.8327,157.0418,0.4956,0.0012,0.4651,124.6898
3.5,279.2254,157.1399,0.4956,0.0012,0.4654,124.6898
3.5025,279.6184,157.238,0.4957,0.0012,0.4657,124.6898
3.505,280.0116,157.336,0.4958,0.0012,0.466,124.6898
3.5075,280.4051,157.434,0.4958,0.0012,0.4663,124.6898
3.51,280.7988,157.532,0.4959,0.0012,0.4666,124.6898
3.5125,281.1927,157.6299,0.496,0.0012,0.4669,124.6898
3.515,281.5869,157.7278,0.496,0.0012,0.4672,124.6898
3.5175,281.9814,157.8256,0.4961,0.0012,0.4675,124.6898
3.52,282.3761,157.9234,0.4961,0.0012,0.4677,124.6898
3.5225,282.771,158.0212,0.4962,0.0012,0.468,124.6898
3.525,283.1662,158.1189,0.4963,0.0012,0.4683,124.6898
3.5275,283.5616,158.2166,0.4963,0.0012,0.4686,124.6898
3.53,283.9573,158.3142,0.4964,0.0012,0.4689,124.6898
3.5325,284.3532,158.4118,0.4965,0.0012,0.4692,124.6898
3.535,284.7493,158.5094,0.4965,0.0012,0.4695,124.6898
3.5375,285.1457,158.6069,0.4966,0.0012,0.4698,124.6898
3.54,285.5424,158.7044,0.4966,0.0012,0.4701,124.6898
3.5425,285.9392,158.8019,0.4967,0.0012,0.4704,124.6898
3.545,286.3364,158.8993,0.4968,0.0012,0.4707,124.6898
3.5475,286.7337,158.9967,0.4968,0.0012,0.471,124.6898
3.55,287.1313,159.094,0.4969,0.0012,0.4713,124.6898
3.5525,287.5292,159.1913,0.497,0.0012,0.4716,124.6898
3.555,287.9273,159.2886,0.497,0.0012,0.4719,124.6898
3.5575,288.3256,159.3858,0.4971,0.0012,0.4721,124.6898
3.56,288.7242,159.483,0.4972,0.0012,0.4724,124.6898
3.5625,289.1231,159.5802,0.4972,0.0012,0.4727,124.6898
3.565,289.5221,159.6773,0.4973,0.0012,0.473,124.6898
3.5675,289.9214,159.7744,0.4973,0.0012,0.4733,124.6898
3.57,290.321,159.8714,0.4974,0.0012,0.4736,124.6898
3.5725,290.7208,159.9684,0.4975,0.0012,0.4739,124.6898
3.575,291.1208,160.0654,0.4975,0.0012,0.4742,124.6898
3.5775,291.5211,160.1623,0.4976,0.0012,0.4745,124.6898
3.58,291.9217,160.2592,0.4977,0.0012,0.4748,124.6898
3.5825,292.3224,160.3561,0.4977,0.0012,0.4751,124.6898
3.585,292.7234,160.4529,0.4978,0.0012,0.4754,124.6898
3.5875,293.1247,160.5497,0.4979,0.0012,0.4756,124.6898
3.59,293.5262,160.6465,0.4979,0.0012,0.4759,124.6898
3.5925,293.9279,160.7432,0.498,0.0012,0.4762,124.6898
3.595,294.3299,160.8399,0.498,0.0012,0.4765,124.6898
3.5975,294.7321,160.9366,0.4981,0.0012,0.4768,124.6898
3.6,295.1346,161.0332,0.4982,0.0012,0.4771,124.6898
3.6025,295.5373,161.1298,0.4982,0.0012,0.4774,124.6898
3.605,295.9402,161.2263,0.4983,0.0012,0.4777,124.6898
3.6075,296.3434,161.3228,0.4984,0.0012,0.478,124.6898
3.61,296.7468,161.4193,0.4984,0.0012,0.4782,124.6898
3.6125,297.1505,161.5158,0.4985,0.0012,0.4785,124.6898
3.615,297.5544,161.6122,0.4986,0.0012,0.4788,124.6898
3.6175,297.9586,161.7085,0.4986,0.0012,0.4791,124.6898
3.62,298.363,161.8049,0.4987,0.0012,0.4794,124.6898
3.6225,298.7676,161.9012,0.4987,0.0012,0.4797,124.6898
3.625,299.1725,161.9974,0.4988,0.0012,0.48,124.6898
3.6275,299.5776,162.0937,0.4989,0.0012,0.4803,124.6898
3.63,299.9829,162.1899,0.4989,0.0012,0.4805,124.6898
3.6325,300.3885,162.286,0.499,0.0012,0.4808,124.6898
3.635,300.7944,162.3822,0.4991,0.0012,0.4811,124.6898
3.6375,301.2004,162.4783,0.4991,0.0012,0.4814,124.6898
3.64,301.6068,162.5743,0.4992,0.0012,0.4817,124.6898
3.6425,302.0133,162.6703,0.4993,0.0012,0.482,124.6898
3.645,302.4201,162.7663,0.4993,0.0012,0.4823,124.6898
3.6475,302.8272,162.8623,0.4994,0.0012,0.4826,124.6898
3.65,303.2344,162.9582,0.4994,0.0012,0.4828,124.6898
3.6525,303.6419,163.0541,0.4995,0.0012,0.4831,124.6898
3.655,304.0497,163.15,0.4996,0.0012,0.4834,124.6898
3.6575,304.4577,163.2458,0.4996,0.0012,0.4837,124.6898
3.66,304.8659,163.3416,0.4997,0.0012,0.484,124.6898
3.6625,305.2744,163.4374,0.4998,0.0012,0.4843,124.6898
3.665,305.6831,163.5331,0.4998,0.0012,0.4846,124.6898
3.6675,306.0921,163.6289,0.4999,0.0012,0.4849,124.6898
3.67,306.5013,163.7246,0.5,0.0012,0.4852,124.6898
3.6725,306.9107,163.8202,0.5,0.0012,0.4854,124.6898
3.675,307.3204,163.9159,0.5001,0.0012,0.4857,124.6898
3.6775,307.7303,164.0115,0.5002,0.0012,0.486,124.6898
3.68,308.1404,164.107,0.5002,0.0012,0.4863,124.6898
3.6825,308.5508,164.2026,0.5003,0.0012,0.4866,124.6898
3.685,308.9614,164.2981,0.5004,0.0012,0.4869,124.6898
3.6875,309.3723,164.3936,0.5004,0.0012,0.4872,124.6898
3.69,309.7834,164.4891,0.5005,0.0012,0.4875,124.6898
3.6925,310.1947,164.5845,0.5006,0.0012,0.4877,124.6898
3.695,310.6063,164.6799,0.5006,0.0012,0.488,124.6898
3.6975,311.0181,164.7753,0.5007,0.0012,0.4883,124.6898
3.7,311.4302,164.8707,0.5007,0.0012,0.4886,124.6898
3.7025,311.8425,164.966,0.5008,0.0012,0.4889,124.6898
3.705,312.255,165.0612,0.5009,0.0012,0.4892,124.6898
3.7075,312.6678,165.1565,0.5009,0.0012,0.4895,124.6898
3.71,313.0808,165.2517,0.501,0.0012,0.4897,124.6898
3.7125,313.4941,165.3469,0.5011,0.0012,0.49,124.6898
3.715,313.9075,165.442,0.5011,0.0012,0.4903,124.6898
3.7175,314.3213,165.5371,0.5012,0.0012,0.4906,124.6898
3.72,314.7352,165.6322,0.5013,0.0012,0.4909,124.6898
3.7225,315.1494,165.7272,0.5013,0.0012,0.4912,124.6898
3.725,315.5639,165.8222,0.5014,0.0012,0.4914,124.6898
3.7275,315.9785,165.9172,0.5015,0.0012,0.4917,124.6898
3.73,316.3935,166.0121,0.5015,0.0012,0.492,124.6898
3.7325,316.8086,166.107,0.5016,0.0012,0.4923,124.6898
3.735,317.224,166.2019,0.5016,0.0012,0.4926,124.6898
3.7375,317.6396,166.2967,0.5017,0.0012,0.4928,124.6898
3.74,318.0555,166.3915,0.5018,0.0012,0.4931,124.6898
3.7425,318.4716,166.4862,0.5018,0.0012,0.4934,124.6898
3.745,318.8879,166.5809,0.5019,0.0012,0.4937,124.6898
3.7475,319.3045,166.6756,0.502,0.0012,0.494,124.6898
3.75,319.7213,166.7703,0.502,0.0012,0.4942,124.6898
3.7525,320.1383,166.8649,0.5021,0.0012,0.4945,124.6898
3.755,320.5556,166.9594,0.5022,0.0012,0.4948,124.6898
3.7575,320.9731,167.054,0.5022,0.0012,0.4951,124.6898
3.76,321.3909,167.1485,0.5023,0.0012,0.4954,124.6898
3.7625,321.8089,167.2429,0.5024,0.0012,0.4957,124.6898
3.765,322.2271,167.3374,0.5024,0.0012,0.4959,124.6898
3.7675,322.6456,167.4318,0.5025,0.0012,0.4962,124.6898
3.77,323.0642,167.5261,0.5026,0.0012,0.4965,124.6898
3.7725,323.4832,167.6205,0.5026,0.0012,0.4968,124.6898
3.775,323.9024,167.7148,0.5027,0.0012,0.4971,124.6898
3.7775,324.3218,167.809,0.5028,0.0012,0.4974,124.6898
3.78,324.7414,167.9032,0.5028,0.0012,0.4976,124.6898
3.7825,325.1613,167.9974,0.5029,0.0012,0.4979,124.6898
3.785,325.5814,168.0916,0.503,0.0012,0.4982,124.6898
3.7875,326.0017,168.1857,0.503,0.0012,0.4985,124.6898
3.79,326.4223,168.2798,0.5031,0.0012,0.4988,124.6898
3.7925,326.8431,168.3738,0.5032,0.0012,0.4991,124.6898
3.795,327.2642,168.4678,0.5032,0.0012,0.4993,124.6898
3.7975,327.6855,168.5618,0.5033,0.0012,0.4996,124.6898
3.8,328.107,168.6557,0.5034,0.0012,0.4999,124.6898
3.8025,328.5287,168.7496,0.5034,0.0012,0.5002,124.6898
3.805,328.9507,168.8435,0.5035,0.0012,0.5005,124.6898
3.8075,329.373,168.9373,0.5036,0.0012,0.5007,124.6898
3.81,329.7954,169.0311,0.5036,0.0012,0.501,124.6898
3.8125,330.2181,169.1248,0.5037,0.0012,0.5013,124.6898
3.815,330.641,169.2185,0.5038,0.0012,0.5016,124.6898
3.8175,331.0642,169.3122,0.5038,0.0012,0.5018,124.6898
3.82,331.4876,169.4058,0.5039,0.0012,0.5021,124.6898
3.8225,331.9112,169.4994,0.504,0.0012,0.5024,124.6898
3.825,332.3351,169.5929,0.504,0.0012,0.5027,124.6898
3.8275,332.7592,169.6864,0.5041,0.0012,0.503,124.6898
3.83,333.1835,169.7798,0.5042,0.0012,0.5032,124.6898
3.8325,333.6081,169.8733,0.5042,0.0012,0.5035,124.6898
3.835,334.0329,169.9666,0.5043,0.0012,0.5038,124.6898
3.8375,334.4579,170.0599,0.5044,0.0012,0.5041,124.6898
3.84,334.8832,170.1532,0.5044,0.0012,0.5043,124.6898
3.8425,335.3087,170.2465,0.5045,0.0012,0.5046,124.6898
3.845,335.7344,170.3397,0.5046,0.0012,0.5049,124.6898
3.8475,336.1604,170.4328,0.5046,0.0012,0.5052,124.6898
3.85,336.5866,170.5259,0.5047,0.0012,0.5054,124.6898
3.8525,337.013,170.619,0.5048,0.0012,0.5057,124.6898
3.855,337.4397,170.712,0.5048,0.0012,0.506,124.6898
3.8575,337.8666,170.805,0.5049,0.0012,0.5063,124.6898
3.86,338.2937,170.898,0.505,0.0012,0.5066,124.6898
3.8625,338.7211,170.9909,0.505,0.0012,0.5068,124.6898
3.865,339.1487,171.0838,0.5051,0.0012,0.5071,124.6898
3.8675,339.5765,171.1766,0.5052,0.0012,0.5074,124.6898
3.87,340.0046,171.2694,0.5052,0.0012,0.5077,124.6898
3.8725,340.4328,171.3622,0.5053,0.0012,0.508,124.6898
3.875,340.8614,171.4549,0.5054,0.0012,0.5082,124.6898
3.8775,341.2901,171.5476,0.5055,0.0012,0.5085,124.6898
3.88,341.7191,171.6402,0.5055,0.0012,0.5088,124.6898
3.8825,342.1483,171.7328,0.5056,0.0012,0.5091,124.6898
3.885,342.5778,171.8254,0.5057,0.0012,0.5093,124.6898
3.8875,343.0074,171.9179,0.5057,0.0012,0.5096,124.6898
3.89,343.4374,172.0104,0.5058,0.0012,0.5099,124.6898
3.8925,343.8675,172.1029,0.5059,0.0012,0.5102,124.6898
3.895,344.2979,172.1953,0.5059,0.0012,0.5105,124.6898
3.8975,344.7285,172.2877,0.506,0.0012,0.5107,124.6898
3.9,345.1593,172.38,0.5061,0.0012,0.511,124.6898
3.9025,345.5904,172.4723,0.5061,0.0012,0.5113,124.6898
3.905,346.0217,172.5646,0.5062,0.0012,0.5116,124.6898
3.9075,346.4532,172.6568,0.5063,0.0012,0.5118,124.6898
3.91,346.885,172.749,0.5064,0.0012,0.5121,124.6898
3.9125,347.3169,172.8412,0.5064,0.0012,0.5124,124.6898
3.915,347.7492,172.9333,0.5065,0.0012,0.5127,124.6898
3.9175,348.1816,173.0254,0.5066,0.0012,0.513,124.6898
3.92,348.6143,173.1174,0.5066,0.0012,0.5132,124.6898
3.9225,349.0472,173.2094,0.5067,0.0012,0.5135,124.6898
3.925,349.4803,173.3014,0.5068,0.0012,0.5138,124.6898
3.9275,349.9137,173.3934,0.5068,0.0012,0.5141,124.6898
3.93,350.3473,173.4853,0.5069,0.0012,0.5144,124.6898
3.9325,350.7811,173.5771,0.507,0.0012,0.5146,124.6898
3.935,351.2152,173.669,0.507,0.0012,0.5149,124.6898
3.9375,351.6495,173.7608,0.5071,0.0012,0.5152,124.6898
3.94,352.084,173.8525,0.5072,0.0012,0.5155,124.6898
3.9425,352.5187,173.9443,0.5073,0.0012,0.5157,124.6898
3.945,352.9537,174.0359,0.5073,0.0012,0.516,124.6898
3.9475,353.3889,174.1276,0.5074,0.0012,0.5163,124.6898
3.95,353.8244,174.2192,0.5075,0.0012,0.5166,124.6898
3.9525,354.26,174.3108,0.5075,0.0012,0.5168,124.6898
3.955,354.6959,174.4023,0.5076,0.0012,0.5171,124.6898
3.9575,355.132,174.4938,0.5077,0.0012,0.5174,124.6898
3.96,355.5684,174.5853,0.5077,0.0012,0.5177,124.6898
3.9625,356.005,174.6767,0.5078,0.0012,0.5179,124.6898
3.965,356.4418,174.7681,0.5079,0.0012,0.5182,124.6898
3.9675,356.8788,174.8595,0.508,0.0012,0.5185,124.6898
3.97,357.3161,174.9508,0.508,0.0012,0.5188,124.6898
3.9725,357.7535,175.042,0.5081,0.0012,0.519,124.6898
3.975,358.1913,175.1333,0.5082,0.0012,0.5193,124.6898
3.9775,358.6292,175.2244,0.5082,0.0012,0.5196,124.6898
3.98,359.0674,175.3156,0.5083,0.0012,0.5199,124.6898
3.9825,359.5058,175.4067,0.5084,0.0012,0.5201,124.6898
3.985,359.9444,175.4978,0.5084,0.0012,0.5204,124.6898
3.9875,360.3833,175.5888,0.5085,0.0012,0.5207,124.6898
3.99,360.8224,175.6798,0.5086,0.0012,0.521,124.6898
3.9925,361.2617,175.7707,0.5087,0.0012,0.5212,124.6898
3.995,361.7012,175.8616,0.5087,0.0012,0.5215,124.6898
3.9975,362.141,175.9525,0.5088,0.0012,0.5218,124.6898
4,362.581,176.0433,0.5089,0.0012,0.522,124.6898
4.0025,363.0212,176.1341,0.5089,0.0012,0.5223,124.6898
4.005,363.4617,176.2248,0.509,0.0012,0.5226,124.6898
4.0075,363.9023,176.3156,0.5091,0.0012,0.5229,124.6898
4.01,364.3432,176.4062,0.5091,0.0012,0.5231,124.6898
4.0125,364.7844,176.4968,0.5092,0.0012,0.5234,124.6898
4.015,365.2257,176.5874,0.5093,0.0012,0.5237,124.6898
4.0175,365.6673,176.678,0.5094,0.0012,0.5239,124.6898
4.02,366.1091,176.7685,0.5094,0.0012,0.5242,124.6898
4.0225,366.5511,176.8589,0.5095,0.0012,0.5245,124.6898
4.025,366.9934,176.9493,0.5096,0.0012,0.5248,124.6898
4.0275,367.4359,177.0397,0.5096,0.0012,0.525,124.6898
4.03,367.8786,177.13,0.5097,0.0012,0.5253,124.6898
4.0325,368.3215,177.2203,0.5098,0.0012,0.5256,124.6898
