dt,acc_x,acc_y,acc_z,vel_N,vel_E,vel_D,pos_N,pos_E,pos_D,rot_x,rot_y,rot_z,lat,lon,alt,pressure,state,battery,ign1_cont,ign2_cont,ign3_cont,ign4_cont,ign1_state,ign2_state,ign3_state,ign4_state,gps_fix,gps_sats,height,h,State2,gps_h,Sats 2,rotx,,rotz
20419,"-0,02108361","-0,06206226","-0,1187371",0,0,"-0,2580225","1,724242","2,218923","2,724807","50,54679","268,18","355,7134","50,33809233","19,531015","338,7999878",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,1000061035",1000,"0,13389",,
20033,"-0,04502544","-0,002188832","-0,06648143",0,0,"-0,2582456","1,724242","2,218923","2,72323","50,4897","268,1544","355,706","50,33809233","19,531015","338,7999878",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,1000061035",1000,"0,0768",,
20301,"-0,0178033","-0,01401353","-0,1086643",0,0,"-0,2575016","1,724242","2,17146","2,724601","50,46794","268,1046","355,7179","50,33809233","19,53101567","338,8999939",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,0,1000,"0,05504",,
20209,"0,02992043","-0,01137477","-0,1524018",0,0,"-0,2567029","1,724242","2,17146","2,72683","50,45743","268,0119","355,6504","50,33809233","19,53101567","338,8999939",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,0,1000,"0,04453",,
20426,"-0,0101146","0,04123023","-0,112274",0,0,"-0,2558785","1,742782","2,100264","2,728451","50,46461","268,013","355,5907","50,33809217","19,53101667","338,8999939",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,0,1000,"0,05171",,
20480,"0,04599459","-0,01815458","-0,09747393",0,0,"-0,2546363","1,742782","2,100264","2,731116","50,48907","268,0757","355,6545","50,33809217","19,53101667","338,8999939",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,0,1000,"0,07617",,
20354,"-0,06788923","0,01967502","-0,1147879",0,0,"-0,2524816","1,724242","2,052801","2,736095","50,48788","268,0902","355,6682","50,33809233","19,53101733","338,8999939",98595,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,7711641","0,5106094805",0,0,1000,"0,07498",,
20235,"-0,003637001","-0,004047573","-0,09587081",0,0,"-0,2502044","1,724242","2,052801","2,741041","50,50867","268,1171","355,6833","50,33809233","19,53101733","338,8999939",98596,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6860608","0,4255061531",0,0,1000,"0,09577",,
20144,"-0,01961096","0,01114856","-0,1689709",0,0,"-0,2487561","1,705702","2,005337","2,745774","50,53242","268,1039","355,6804","50,3380925","19,531018","338,7999878",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,"-0,1000061035",1000,"0,11952",,
20079,"-0,01312541","0,02201313","-0,1569441",0,0,"-0,2477839","1,705702","2,005337","2,74813","50,51681","268,1075","355,7079","50,3380925","19,531018","338,7999878",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,1000061035",1000,"0,10391",,
20019,"-0,03107157","0,00577189","-0,07438548",0,0,"-0,2482804","1,705702","1,957874","2,746641","50,50465","268,0298","355,736","50,3380925","19,53101867","338,7999878",98602,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,1754555","-0,085099134",0,"-0,1000061035",1000,"0,09175",,
20007,"0,04687868","0,05969388","-0,09877665",0,0,"-0,249164","1,705702","1,957874","2,744039","50,53213","268,0443","355,7765","50,3380925","19,53101867","338,7999878",98603,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,090357","-0,1701975692",0,"-0,1000061035",1000,"0,11923",,
20048,"0,1020386","4,50E-05","-0,04222282",0,0,"-0,2494135","1,687162","1,934142","2,742313","50,52451","268,0579","355,7477","50,33809267","19,531019","338,7000122",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,1999816895",1000,"0,11161",,
20034,"0,09431938","-0,01116564","-0,09379657",0,0,"-0,2486588","1,687162","1,934142","2,744241","50,50241","268,0908","355,7444","50,33809267","19,531019","338,7000122",98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"-0,1999816895",1000,"0,08951",,
20004,"0,05690277","0,009569511","-0,04685958",0,0,"-0,2492466","1,687162","1,91041","2,742114","50,50273","268,0558","355,6948","50,33809267","19,53101933","338,7000122",98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"-0,1999816895",1000,"0,08983",,
20255,"0,01451881","-0,02743238","-0,07064421",0,0,"-0,2495926","1,687162","1,91041","2,740378","50,48693","268,0168","355,6038","50,33809267","19,53101933","338,6000061",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,299987793",1000,"0,07403",,
20760,"0,04061432","0,03175165","-0,06188853",0,0,"-0,2495745","1,668621","1,91041","2,740701","50,49306","268,0238","355,5831","50,33809283","19,53101933","338,6000061",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"-0,299987793",1000,"0,08016",,
20319,"-0,04415195","-0,0002249628","-0,05019935",0,0,"-0,2488847","1,668621","1,91041","2,741315","50,54248","268,0197","355,6232","50,33809283","19,53101933","338,6000061",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,299987793",1000,"0,12958",,
20794,"0,02389526","0,009822845","-0,02580531",0,0,"-0,2493291","1,668621","1,922276","2,739082","50,54824","268,0345","355,6491","50,33809283","19,53101917","338,6000061",98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"-0,299987793",1000,"0,13534",,
20129,"0,007989332","-0,01327811","-0,066202",0,0,"-0,2494006","1,668621","1,922276","2,739431","50,54737","267,9692","355,5901","50,33809283","19,53101917","338,6000061",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,299987793",1000,"0,13447",,
20346,"-0,04529205","0,007891595","-0,0870703",0,0,"-0,2502528","1,668621","1,898544","2,73686","50,55724","267,91","355,64","50,33809283","19,5310195","338,6000061",98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"-0,299987793",1000,"0,14434",,
20072,"0,02725205","0,01581098","-0,1270598",0,0,"-0,2505425","1,668621","1,898544","2,735628","50,58408","267,916","355,6264","50,33809283","19,5310195","338,6000061",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,299987793",1000,"0,17118",,
20191,"0,07252868","0,01361142","-0,03765376",0,0,"-0,2506233","1,687162","1,898544","2,735129","50,58129","267,9509","355,6287","50,33809267","19,5310195","338,6000061",98602,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,1754555","-0,085099134",0,"-0,299987793",1000,"0,16839",,
20335,"-0,03384818","-0,03455088","-0,09139712",0,0,"-0,2514617","1,687162","1,898544","2,733038","50,59083","267,9611","355,5914","50,33809267","19,5310195","338,6000061",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,299987793",1000,"0,17793",,
20610,"0,03218575","0,03819733","-0,09482272",0,0,"-0,2508612","1,705702","1,946008","2,734071","50,57196","268,0341","355,5916","50,3380925","19,53101883","338,7000122",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"-0,1999816895",1000,"0,15906",,
20377,"0,02134901","0,02130823","-0,1191777",0,0,"-0,2494416","1,742782","2,005337","2,737421","50,54508","267,965","355,5239","50,33809217","19,531018","338,7000122",98596,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6860608","0,4255061531",0,"-0,1999816895",1000,"0,13218",,
20046,"0,06811391","0,05898678","-0,05552753",0,0,"-0,24811","1,742782","2,005337","2,740455","50,56824","267,9317","355,5466","50,33809217","19,531018","338,7999878",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"-0,1000061035",1000,"0,15534",,
20051,"-0,005397648","0,02517056","-0,07007392",0,0,"-0,2476316","1,742782","2,005337","2,741311","50,58769","268,0032","355,5899","50,33809217","19,531018","338,7999878",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,1000061035",1000,"0,17479",,
20444,"0,01026767","0,0042983","-0,1138695",0,0,"-0,2466392","1,779863","2,064667","2,742146","50,61176","268,0341","355,6332","50,33809183","19,53101717","338,8999939",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,0,1000,"0,19886",,
20371,"0,0730392","0,01320622","-0,06802256",0,0,"-0,2463818","1,779863","2,064667","2,741856","50,61123","268,0433","355,6631","50,33809183","19,53101717","338,8999939",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,0,1000,"0,19833",,
20475,"0,01011971","-0,03795391","-0,06480391",0,0,"-0,2466814","1,779863","2,088398","2,740536","50,60989","267,9981","355,5862","50,33809183","19,53101683",339,98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"0,1000061035",1000,"0,19699",,
20527,"-0,005660921","0,04224858","-0,1105841",0,0,"-0,2469193","1,742782","2,076533","2,740203","50,60313","268,0233","355,613","50,33809217","19,531017",339,98602,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,1754555","-0,085099134",0,"0,1000061035",1000,"0,19023",,
20086,"0,06224121","0,03405692","-0,1232947",0,0,"-0,2480147","1,742782","2,076533","2,737065","50,62345","268,1127","355,7112","50,33809217","19,531017",339,98604,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,0052593","-0,2552953055",0,"0,1000061035",1000,"0,21055",,
20125,"-0,009118989","-0,03820212","-0,07565577",0,0,"-0,2489996","1,705702","2,029069","2,734392","50,64719","268,1595","355,8215","50,3380925","19,53101767",339,98602,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,1754555","-0,085099134",0,"0,1000061035",1000,"0,23429",,
20328,"0,02278085","0,01423852","-0,08421309",0,0,"-0,2488039","1,705702","2,029069","2,73465","50,65883","268,2437","355,8338","50,3380925","19,53101767","338,8999939",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,0,1000,"0,24593",,
20247,"0,001232475","-0,04359971","-0,1052655",0,0,"-0,2489985","1,705702","2,029069","2,733978","50,618","268,2163","355,7978","50,3380925","19,53101767","338,8999939",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,0,1000,"0,2051",,
20097,"-0,0410946","-0,04718202","-0,07509597",0,0,"-0,2491263","1,668621","1,993471","2,733195","50,5712","268,1652","355,7158","50,33809283","19,53101817","338,8999939",98602,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,1754555","-0,085099134",0,0,1000,"0,1583",,
20536,"-0,01899703","1,17E-05","-0,07721598",0,0,"-0,2495891","1,631541","1,957874","2,730954","50,55033","268,1804","355,7788","50,33809317","19,53101867","338,8999939",98602,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,1754555","-0,085099134",0,0,1000,"0,13743",,
20361,"0,01388332","0,0006713569","-0,05535682",0,0,"-0,2498533","1,631541","1,957874","2,729612","50,58049","268,2347","355,8678","50,33809317","19,53101867","338,8999939",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,0,1000,"0,16759",,
20107,"0,06736483","-0,03005746","-0,126047",0,0,"-0,2502514","1,55738","1,91041","2,728603","50,59258","268,2435","355,8419","50,33809383","19,53101933","338,8999939",98602,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,1754555","-0,085099134",0,0,1000,"0,17968",,
20354,"-0,09945346","0,01092465","-0,09533675",0,0,"-0,2510137","1,55738","1,91041","2,726401","50,55214","268,1229","355,6713","50,33809383","19,53101933","338,7999878",98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"-0,1000061035",1000,"0,13924",,
20051,"-0,0001764297","-0,002482384","-0,1334561",0,0,"-0,2507487","1,57592","1,91041","2,726098","50,53117","268,1273","355,6682","50,33809367","19,53101933","338,7999878",98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"-0,1000061035",1000,"0,11827",,
20367,"0,01230001","-0,0007926077","-0,09177001",0,0,"-0,251007","1,57592","1,91041","2,725374","50,54773","268,1324","355,6605","50,33809367","19,53101933","338,7999878",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,1000061035",1000,"0,13483",,
20755,"-0,002497077","0,01253109","-0,08777888",0,0,"-0,2507015","1,57592","1,91041","2,726402","50,54572","268,1417","355,7106","50,33809367","19,53101933","338,7999878",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,1000061035",1000,"0,13282",,
20119,"-0,07877453","0,003409386","-0,09125502",0,0,"-0,2494677","1,57592","1,91041","2,729029","50,56768","268,1383","355,7322","50,33809367","19,53101933","338,7999878",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"-0,1000061035",1000,"0,15478",,
20179,"0,0333515","-0,04382092","-0,1117056",0,0,"-0,2487856","1,57592","1,898544","2,730908","50,53616","268,18","355,7898","50,33809367","19,5310195","338,7999878",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,1000061035",1000,"0,12326",,
