# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Simulation time step (s)
0,0,0,0,0.0025
0.0025,0,0,0,0.0025
0.005,0,0,0,0.0025
0.0075,0,0,0,0.0025
0.01,0,0,0,0.0025
0.0125,0,0,0,0.0025
0.015,0,0,0,0.0025
0.0175,0,0.0003,0.7466,0.0025
0.02,0,0.0047,2.7142,0.0025
0.0225,0,0.0138,4.6069,0.0025
0.025,0.0001,0.0276,6.4329,0.0025
0.0275,0.0002,0.0459,8.188,0.0025
0.03,0.0003,0.0685,9.8797,0.0025
0.0325,0.0005,0.0953,11.5049,0.0025
0.035,0.0008,0.126,13.0705,0.0025
0.0375,0.0011,0.1606,14.5739,0.0025
0.04,0.0016,0.1988,16.0219,0.0025
0.0425,0.0021,0.2406,17.4115,0.0025
0.045,0.0028,0.2858,18.7491,0.0025
0.0475,0.0036,0.3343,20.0322,0.0025
0.05,0.0045,0.386,21.2668,0.0025
0.0525,0.0055,0.4406,22.4507,0.0025
0.055,0.0067,0.4982,23.5894,0.0025
0.0575,0.008,0.5585,24.681,0.0025
0.06,0.0095,0.6215,25.7307,0.0025
0.0625,0.0111,0.6871,26.7366,0.0025
0.065,0.0129,0.7552,27.7034,0.0025
0.0675,0.0149,0.8256,28.6295,0.0025
0.07,0.017,0.8983,29.5193,0.0025
0.0725,0.0194,0.9732,30.3714,0.0025
0.075,0.0219,1.0501,31.1899,0.0025
0.0775,0.0246,1.1291,31.9734,0.0025
0.08,0.0276,1.21,32.7259,0.0025
0.0825,0.0307,1.2927,33.446,0.0025
0.085,0.034,1.3772,34.1374,0.0025
0.0875,0.0376,1.4634,34.7988,0.0025
0.09,0.0413,1.5512,35.4338,0.0025
0.0925,0.0453,1.6405,36.0411,0.0025
0.095,0.0495,1.7313,36.6239,0.0025
0.0975,0.054,1.8236,37.1811,0.0025
0.1,0.0587,1.9172,37.7157,0.0025
0.1025,0.0636,2.0122,38.2268,0.0025
0.105,0.0687,2.1083,38.717,0.0025
0.1075,0.0741,2.2057,39.1855,0.0025
0.11,0.0798,2.3043,39.6348,0.0025
0.1125,0.0856,2.4039,40.0641,0.0025
0.115,0.0918,2.5046,40.4757,0.0025
0.1175,0.0982,2.6062,40.8689,0.0025
0.12,0.1048,2.7089,41.2459,0.0025
0.1225,0.1117,2.8125,41.606,0.0025
0.125,0.1189,2.9169,41.9511,0.0025
0.1275,0.1263,3.0222,42.2807,0.0025
0.13,0.134,3.1283,42.5966,0.0025
0.1325,0.1419,3.2352,42.8982,0.0025
0.135,0.1502,3.3428,43.1871,0.0025
0.1375,0.1587,3.4511,43.463,0.0025
0.14,0.1674,3.5601,43.7273,0.0025
0.1425,0.1765,3.6697,43.9796,0.0025
0.145,0.1858,3.78,44.2213,0.0025
0.1475,0.1954,3.8908,44.4519,0.0025
0.15,0.2052,4.0022,44.6728,0.0025
0.1525,0.2154,4.1142,44.8836,0.0025
0.155,0.2258,4.2266,45.0855,0.0025
0.1575,0.2365,4.3396,45.2781,0.0025
0.16,0.2475,4.453,45.4625,0.0025
0.1625,0.2588,4.5669,45.6385,0.0025
0.165,0.2703,4.6812,45.807,0.0025
0.1675,0.2822,4.7959,45.9677,0.0025
0.17,0.2943,4.911,46.1215,0.0025
0.1725,0.3067,5.0265,46.2682,0.0025
0.175,0.3194,5.1424,46.4087,0.0025
0.1775,0.3324,5.2586,46.5426,0.0025
0.18,0.3457,5.3751,46.6707,0.0025
0.1825,0.3593,5.4919,46.793,0.0025
0.185,0.3732,5.609,46.9099,0.0025
0.1875,0.3874,5.7265,47.0214,0.0025
0.19,0.4018,5.8441,47.1281,0.0025
0.1925,0.4166,5.9621,47.2298,0.0025
0.195,0.4316,6.0803,47.3271,0.0025
0.1975,0.447,6.1987,47.4199,0.0025
0.2,0.4626,6.3174,47.5086,0.0025
0.2025,0.4786,6.4363,47.5931,0.0025
0.205,0.4948,6.5553,47.674,0.0025
0.2075,0.5113,6.6746,47.7511,0.0025
0.21,0.5282,6.7941,47.8249,0.0025
0.2125,0.5453,6.9138,47.8951,0.0025
0.215,0.5628,7.0336,47.9623,0.0025
0.2175,0.5805,7.1536,48.0263,0.0025
0.22,0.5985,7.2737,48.0875,0.0025
0.2225,0.6169,7.394,48.1458,0.0025
0.225,0.6355,7.5144,48.2016,0.0025
0.2275,0.6544,7.635,48.2547,0.0025
0.23,0.6737,7.7557,48.3054,0.0025
0.2325,0.6932,7.8765,48.3538,0.0025
0.235,0.713,7.9975,48.4,0.0025
0.2375,0.7332,8.1185,48.4439,0.0025
0.24,0.7536,8.2397,48.486,0.0025
0.2425,0.7744,8.361,48.526,0.0025
0.245,0.7954,8.4823,48.5642,0.0025
0.2475,0.8168,8.6038,48.6006,0.0025
0.25,0.8385,8.7253,48.6354,0.0025
0.2525,0.8604,8.8469,48.6685,0.0025
0.255,0.8827,8.9687,48.7001,0.0025
0.2575,0.9053,9.0904,48.7302,0.0025
0.26,0.9282,9.2123,48.7589,0.0025
0.2625,0.9513,9.3342,48.7862,0.0025
0.265,0.9748,9.4562,48.8123,0.0025
0.2675,0.9986,9.5783,48.8371,0.0025
0.27,1.0227,9.7004,48.8608,0.0025
0.2725,1.0471,9.8226,48.8833,0.0025
0.275,1.0718,9.9448,48.9048,0.0025
0.2775,1.0968,10.0671,48.9253,0.0025
0.28,1.1222,10.1895,48.9448,0.0025
0.2825,1.1478,10.3119,48.9635,0.0025
0.285,1.1737,10.4343,48.9813,0.0025
0.2875,1.2,10.5568,48.9982,0.0025
0.29,1.2265,10.6793,49.0144,0.0025
0.2925,1.2534,10.8018,49.0298,0.0025
0.295,1.2805,10.9244,49.0446,0.0025
0.2975,1.308,11.0471,49.0586,0.0025
0.3,1.3357,11.1697,49.072,0.0025
0.3025,1.3638,11.2924,49.0846,0.0025
0.305,1.3922,11.4151,49.0967,0.0025
0.3075,1.4209,11.5379,49.1081,0.0025
0.31,1.4499,11.6607,49.1191,0.0025
0.3125,1.4792,11.7835,49.1295,0.0025
0.315,1.5088,11.9063,49.1393,0.0025
0.3175,1.5387,12.0292,49.1486,0.0025
0.32,1.569,12.1521,49.1575,0.0025
0.3225,1.5995,12.275,49.1659,0.0025
0.325,1.6303,12.3979,49.1738,0.0025
0.3275,1.6615,12.5208,49.1814,0.0025
0.33,1.6929,12.6438,49.1886,0.0025
0.3325,1.7247,12.7668,49.1953,0.0025
0.335,1.7568,12.8898,49.2018,0.0025
0.3375,1.7892,13.0128,49.2078,0.0025
0.34,1.8218,13.1358,49.2136,0.0025
0.3425,1.8548,13.2589,49.219,0.0025
0.345,1.8881,13.3819,49.2241,0.0025
0.3475,1.9217,13.505,49.229,0.0025
0.35,1.9557,13.6281,49.2335,0.0025
0.3525,1.9899,13.7511,49.2378,0.0025
0.355,2.0244,13.8742,49.2419,0.0025
0.3575,2.0593,13.9974,49.2456,0.0025
0.36,2.0944,14.1205,49.2492,0.0025
0.3625,2.1299,14.2436,49.2525,0.0025
0.365,2.1656,14.3667,49.2557,0.0025
0.3675,2.2017,14.4899,49.2586,0.0025
0.37,2.2381,14.613,49.2613,0.0025
0.3725,2.2748,14.7362,49.2638,0.0025
0.375,2.3118,14.8593,49.2661,0.0025
0.3775,2.3491,14.9825,49.2683,0.0025
0.38,2.3867,15.1057,49.2703,0.0025
0.3825,2.4246,15.2289,49.2721,0.0025
0.385,2.4628,15.352,49.2738,0.0025
0.3875,2.5013,15.4752,49.2753,0.0025
0.39,2.5402,15.5984,49.2767,0.0025
0.3925,2.5793,15.7216,49.2779,0.0025
0.395,2.6188,15.8448,49.279,0.0025
0.3975,2.6586,15.968,49.28,0.0025
0.4,2.6986,16.0912,49.2808,0.0025
0.4025,2.739,16.2144,49.2815,0.0025
0.405,2.7797,16.3376,49.2821,0.0025
0.4075,2.8207,16.4608,49.2826,0.0025
0.41,2.862,16.584,49.2829,0.0025
0.4125,2.9036,16.7072,49.2832,0.0025
0.415,2.9455,16.8305,49.2834,0.0025
0.4175,2.9878,16.9537,49.2835,0.0025
0.42,3.0303,17.0769,49.2835,0.0025
0.4225,3.0732,17.2001,49.2834,0.0025
0.425,3.1163,17.3233,49.2832,0.0025
0.4275,3.1598,17.4465,49.2829,0.0025
0.43,3.2035,17.5697,49.2826,0.0025
0.4325,3.2476,17.6929,49.2822,0.0025
0.435,3.292,17.8161,49.2817,0.0025
0.4375,3.3367,17.9393,49.2812,0.0025
0.44,3.3817,18.0625,49.2805,0.0025
0.4425,3.427,18.1857,49.2799,0.0025
0.445,3.4726,18.3089,49.2791,0.0025
0.4475,3.5186,18.4321,49.2783,0.0025
0.45,3.5648,18.5553,49.2775,0.0025
0.4525,3.6113,18.6785,49.2766,0.0025
0.455,3.6582,18.8017,49.2756,0.0025
0.4575,3.7053,18.9249,49.2746,0.0025
0.46,3.7528,19.0481,49.2736,0.0025
0.4625,3.8006,19.1712,49.2725,0.0025
0.465,3.8487,19.2944,49.2713,0.0025
0.4675,3.8971,19.4176,49.2701,0.0025
0.47,3.9458,19.5408,49.2689,0.0025
0.4725,3.9948,19.6639,49.2676,0.0025
0.475,4.0441,19.7871,49.2663,0.0025
0.4775,4.0937,19.9103,49.2649,0.0025
0.48,4.1436,20.0334,49.2636,0.0025
0.4825,4.1939,20.1566,49.2621,0.0025
0.485,4.2444,20.2797,49.2607,0.0025
0.4875,4.2953,20.4029,49.2592,0.0025
0.49,4.3464,20.526,49.2577,0.0025
0.4925,4.3979,20.6492,49.2561,0.0025
0.495,4.4497,20.7723,49.2545,0.0025
0.4975,4.5018,20.8955,49.2529,0.0025
0.5,4.5541,21.0186,49.2513,0.0025
0.5025,4.6069,21.1417,49.2496,0.0025
0.505,4.6599,21.2648,49.2479,0.0025
0.5075,4.7132,21.388,49.2461,0.0025
0.51,4.7668,21.5111,49.2444,0.0025
0.5125,4.8207,21.6342,49.2426,0.0025
0.515,4.875,21.7573,49.2408,0.0025
0.5175,4.9295,21.8804,49.2389,0.0025
0.52,4.9844,22.0035,49.2371,0.0025
0.5225,5.0395,22.1266,49.2352,0.0025
0.525,5.095,22.2497,49.2333,0.0025
0.5275,5.1508,22.3727,49.2313,0.0025
0.53,5.2069,22.4958,49.2294,0.0025
0.5325,5.2633,22.6189,49.2274,0.0025
0.535,5.32,22.7419,49.2254,0.0025
0.5375,5.377,22.865,49.2234,0.0025
0.54,5.4343,22.9881,49.2214,0.0025
0.5425,5.4919,23.1111,49.2194,0.0025
0.545,5.5498,23.2342,49.2173,0.0025
0.5475,5.6081,23.3572,49.2152,0.0025
0.55,5.6666,23.4802,49.2131,0.0025
0.5525,5.7255,23.6033,49.2111,0.0025
0.555,5.7846,23.7263,49.209,0.0025
0.5575,5.8441,23.8493,49.2068,0.0025
0.56,5.9039,23.9723,49.2047,0.0025
0.5625,5.964,24.0953,49.2026,0.0025
0.565,6.0244,24.2183,49.2004,0.0025
0.5675,6.0851,24.3413,49.1982,0.0025
0.57,6.1461,24.4643,49.196,0.0025
0.5725,6.2074,24.5873,49.1938,0.0025
0.575,6.269,24.7103,49.1916,0.0025
0.5775,6.3309,24.8333,49.1894,0.0025
0.58,6.3932,24.9562,49.1871,0.0025
0.5825,6.4557,25.0792,49.1849,0.0025
0.585,6.5186,25.2022,49.1826,0.0025
0.5875,6.5817,25.3251,49.1803,0.0025
0.59,6.6452,25.4481,49.178,0.0025
0.5925,6.709,25.571,49.1757,0.0025
0.595,6.7731,25.6939,49.1734,0.0025
0.5975,6.8374,25.8169,49.171,0.0025
0.6,6.9021,25.9398,49.1687,0.0025
0.6025,6.9671,26.0627,49.1663,0.0025
0.605,7.0325,26.1856,49.1638,0.0025
0.6075,7.0981,26.3085,49.1614,0.0025
0.61,7.164,26.4314,49.1589,0.0025
0.6125,7.2302,26.5543,49.1564,0.0025
0.615,7.2968,26.6772,49.1539,0.0025
0.6175,7.3636,26.8001,49.1514,0.0025
0.62,7.4308,26.923,49.1489,0.0025
0.6225,7.4982,27.0459,49.1464,0.0025
0.625,7.566,27.1687,49.1439,0.0025
0.6275,7.6341,27.2916,49.1413,0.0025
0.63,7.7025,27.4144,49.1388,0.0025
0.6325,7.7711,27.5373,49.1362,0.0025
0.635,7.8401,27.6601,49.1336,0.0025
0.6375,7.9094,27.7829,49.131,0.0025
0.64,7.9791,27.9058,49.1284,0.0025
0.6425,8.049,28.0286,49.1258,0.0025
0.645,8.1192,28.1514,49.1232,0.0025
0.6475,8.1897,28.2742,49.1205,0.0025
0.65,8.2606,28.397,49.1179,0.0025
0.6525,8.3317,28.5198,49.1153,0.0025
0.655,8.4032,28.6426,49.1128,0.0025
0.6575,8.4749,28.7653,49.1102,0.0025
0.66,8.547,28.8881,49.1077,0.0025
0.6625,8.6194,29.0109,49.1051,0.0025
0.665,8.692,29.1336,49.1025,0.0025
0.6675,8.765,29.2564,49.0999,0.0025
0.67,8.8383,29.3791,49.0972,0.0025
0.6725,8.9119,29.5019,49.0946,0.0025
0.675,8.9858,29.6246,49.0919,0.0025
0.6775,9.0601,29.7473,49.0893,0.0025
0.68,9.1346,29.8701,49.0866,0.0025
0.6825,9.2094,29.9928,49.0839,0.0025
0.685,9.2845,30.1155,49.0812,0.0025
0.6875,9.36,30.2382,49.0785,0.0025
0.69,9.4357,30.3609,49.0757,0.0025
0.6925,9.5118,30.4836,49.073,0.0025
0.695,9.5881,30.6062,49.0702,0.0025
0.6975,9.6648,30.7289,49.0675,0.0025
0.7,9.7418,30.8516,49.0647,0.0025
0.7025,9.8191,30.9742,49.0618,0.0025
0.705,9.8967,31.0969,49.0589,0.0025
0.7075,9.9746,31.2195,49.0561,0.0025
0.71,10.0528,31.3422,49.0532,0.0025
0.7125,10.1313,31.4648,49.0503,0.0025
0.715,10.2101,31.5874,49.0473,0.0025
0.7175,10.2892,31.71,49.0444,0.0025
0.72,10.3686,31.8326,49.0414,0.0025
0.7225,10.4484,31.9552,49.0385,0.0025
0.725,10.5284,32.0778,49.0355,0.0025
0.7275,10.6088,32.2004,49.0325,0.0025
0.73,10.6894,32.323,49.0295,0.0025
0.7325,10.7704,32.4456,49.0265,0.0025
0.735,10.8516,32.5681,49.0234,0.0025
0.7375,10.9332,32.6907,49.0204,0.0025
0.74,11.0151,32.8132,49.0173,0.0025
0.7425,11.0973,32.9358,49.0142,0.0025
0.745,11.1798,33.0583,49.0111,0.0025
0.7475,11.2626,33.1808,49.008,0.0025
0.75,11.3457,33.3033,49.0049,0.0025
0.7525,11.4291,33.4258,49.0017,0.0025
0.755,11.5128,33.5483,48.9985,0.0025
0.7575,11.5968,33.6708,48.9953,0.0025
0.76,11.6812,33.7933,48.9921,0.0025
0.7625,11.7658,33.9158,48.9889,0.0025
0.765,11.8507,34.0383,48.9856,0.0025
0.7675,11.936,34.1607,48.9824,0.0025
0.77,12.0215,34.2832,48.9791,0.0025
0.7725,12.1074,34.4056,48.9758,0.0025
0.775,12.1936,34.5281,48.9725,0.0025
0.7775,12.28,34.6505,48.9691,0.0025
0.78,12.3668,34.7729,48.9658,0.0025
0.7825,12.4539,34.8953,48.9624,0.0025
0.785,12.5413,35.0177,48.959,0.0025
0.7875,12.629,35.1401,48.9556,0.0025
0.79,12.717,35.2625,48.9522,0.0025
0.7925,12.8053,35.3849,48.9488,0.0025
0.795,12.8939,35.5072,48.9453,0.0025
0.7975,12.9828,35.6296,48.9418,0.0025
0.8,13.0721,35.7519,48.9383,0.0025
0.8025,13.1616,35.8743,48.9349,0.0025
0.805,13.2514,35.9966,48.9314,0.0025
0.8075,13.3416,36.1189,48.9279,0.0025
0.81,13.432,36.2413,48.9243,0.0025
0.8125,13.5228,36.3636,48.9208,0.0025
0.815,13.6139,36.4859,48.9172,0.0025
0.8175,13.7052,36.6082,48.9135,0.0025
0.82,13.7969,36.7304,48.9099,0.0025
0.8225,13.8889,36.8527,48.9062,0.0025
0.825,13.9812,36.975,48.9025,0.0025
0.8275,14.0738,37.0972,48.8987,0.0025
0.83,14.1666,37.2195,48.895,0.0025
0.8325,14.2599,37.3417,48.8912,0.0025
0.835,14.3534,37.4639,48.8873,0.0025
0.8375,14.4472,37.5861,48.8835,0.0025
0.84,14.5413,37.7083,48.8796,0.0025
0.8425,14.6357,37.8305,48.8757,0.0025
0.845,14.7304,37.9527,48.8717,0.0025
0.8475,14.8255,38.0749,48.8678,0.0025
0.85,14.9208,38.197,48.8637,0.0025
0.8525,15.0165,38.3192,48.8597,0.0025
0.855,15.1124,38.4413,48.8557,0.0025
0.8575,15.2087,38.5635,48.8516,0.0025
0.86,15.3052,38.6856,48.8475,0.0025
0.8625,15.4021,38.8077,48.8434,0.0025
0.865,15.4993,38.9298,48.8393,0.0025
0.8675,15.5967,39.0519,48.8351,0.0025
0.87,15.6945,39.174,48.8309,0.0025
0.8725,15.7926,39.2961,48.8266,0.0025
0.875,15.891,39.4181,48.8224,0.0025
0.8775,15.9897,39.5402,48.8181,0.0025
0.88,16.0887,39.6622,48.8138,0.0025
0.8825,16.188,39.7842,48.8094,0.0025
0.885,16.2876,39.9063,48.8051,0.0025
0.8875,16.3875,40.0283,48.8007,0.0025
0.89,16.4878,40.1503,48.7962,0.0025
0.8925,16.5883,40.2723,48.7918,0.0025
0.895,16.6891,40.3942,48.7873,0.0025
0.8975,16.7903,40.5162,48.7828,0.0025
0.9,16.8917,40.6381,48.7782,0.0025
0.9025,16.9935,40.7601,48.7736,0.0025
0.905,17.0955,40.882,48.769,0.0025
0.9075,17.1979,41.0039,48.7643,0.0025
0.91,17.3005,41.1258,48.7596,0.0025
0.9125,17.4035,41.2477,48.7549,0.0025
0.915,17.5068,41.3696,48.7501,0.0025
0.9175,17.6103,41.4915,48.7453,0.0025
0.92,17.7142,41.6133,48.7405,0.0025
0.9225,17.8184,41.7352,48.7357,0.0025
0.925,17.9229,41.857,48.7308,0.0025
0.9275,18.0277,41.9788,48.7258,0.0025
0.93,18.1328,42.1006,48.7209,0.0025
0.9325,18.2382,42.2224,48.7159,0.0025
0.935,18.3439,42.3442,48.7108,0.0025
0.9375,18.4499,42.466,48.7058,0.0025
0.94,18.5562,42.5877,48.7007,0.0025
0.9425,18.6629,42.7095,48.6956,0.0025
0.945,18.7698,42.8312,48.6904,0.0025
0.9475,18.877,42.9529,48.6852,0.0025
0.95,18.9846,43.0747,48.68,0.0025
0.9525,19.0924,43.1963,48.6747,0.0025
0.955,19.2005,43.318,48.6694,0.0025
0.9575,19.309,43.4397,48.664,0.0025
0.96,19.4177,43.5613,48.6587,0.0025
0.9625,19.5268,43.683,48.6533,0.0025
0.965,19.6361,43.8046,48.6478,0.0025
0.9675,19.7458,43.9262,48.6423,0.0025
0.97,19.8558,44.0478,48.6368,0.0025
0.9725,19.9661,44.1694,48.6313,0.0025
0.975,20.0766,44.291,48.6257,0.0025
0.9775,20.1875,44.4125,48.6201,0.0025
0.98,20.2987,44.5341,48.6144,0.0025
0.9825,20.4102,44.6556,48.6088,0.0025
0.985,20.522,44.7771,48.603,0.0025
0.9875,20.6341,44.8986,48.5973,0.0025
0.99,20.7465,45.0201,48.5915,0.0025
0.9925,20.8592,45.1416,48.5857,0.0025
0.995,20.9722,45.263,48.5798,0.0025
0.9975,21.0855,45.3845,48.5739,0.0025
1,21.1991,45.5059,48.568,0.0025
1.0025,21.313,45.6273,48.5621,0.0025
1.005,21.4272,45.7487,48.5561,0.0025
1.0075,21.5418,45.8701,48.5501,0.0025
1.01,21.6566,45.9915,48.544,0.0025
1.0125,21.7717,46.1128,48.5379,0.0025
1.015,21.8871,46.2342,48.5318,0.0025
1.0175,22.0029,46.3555,48.5257,0.0025
1.02,22.1189,46.4768,48.5195,0.0025
1.0225,22.2353,46.5981,48.5133,0.0025
1.025,22.3519,46.7194,48.507,0.0025
1.0275,22.4689,46.8406,48.5007,0.0025
1.03,22.5861,46.9619,48.4944,0.0025
1.0325,22.7037,47.0831,48.4881,0.0025
1.035,22.8215,47.2043,48.4817,0.0025
1.0375,22.9397,47.3255,48.4753,0.0025
1.04,23.0582,47.4467,48.4689,0.0025
1.0425,23.1769,47.5678,48.4624,0.0025
1.045,23.296,47.689,48.4559,0.0025
1.0475,23.4154,47.8101,48.4494,0.0025
1.05,23.535,47.9312,48.4428,0.0025
1.0525,23.655,48.0523,48.4363,0.0025
1.055,23.7753,48.1734,48.4297,0.0025
1.0575,23.8959,48.2945,48.423,0.0025
1.06,24.0168,48.4155,48.4164,0.0025
1.0625,24.138,48.5366,48.4097,0.0025
1.065,24.2595,48.6576,48.403,0.0025
1.0675,24.3813,48.7786,48.3963,0.0025
1.07,24.5034,48.8996,48.3895,0.0025
1.0725,24.6258,49.0205,48.3828,0.0025
1.075,24.7485,49.1415,48.376,0.0025
1.0775,24.8715,49.2624,48.3691,0.0025
1.08,24.9948,49.3833,48.3623,0.0025
1.0825,25.1184,49.5042,48.3554,0.0025
1.085,25.2423,49.6251,48.3485,0.0025
1.0875,25.3665,49.746,48.3416,0.0025
1.09,25.491,49.8668,48.3347,0.0025
1.0925,25.6158,49.9876,48.3277,0.0025
1.095,25.741,50.1084,48.3208,0.0025
1.0975,25.8664,50.2292,48.3138,0.0025
1.1,25.9921,50.35,48.3068,0.0025
1.1025,26.1181,50.4708,48.2998,0.0025
1.105,26.2445,50.5915,48.2927,0.0025
1.1075,26.3711,50.7122,48.2857,0.0025
1.11,26.498,50.8329,48.2787,0.0025
1.1125,26.6253,50.9536,48.2716,0.0025
1.115,26.7528,51.0743,48.2646,0.0025
1.1175,26.8806,51.1949,48.2575,0.0025
1.12,27.0088,51.3156,48.2504,0.0025
1.1225,27.1372,51.4362,48.2433,0.0025
1.125,27.2659,51.5568,48.2362,0.0025
1.1275,27.395,51.6774,48.2291,0.0025
1.13,27.5243,51.7979,48.2219,0.0025
1.1325,27.654,51.9185,48.2148,0.0025
1.135,27.7839,52.039,48.2076,0.0025
1.1375,27.9142,52.1595,48.2005,0.0025
1.14,28.0447,52.28,48.1933,0.0025
1.1425,28.1756,52.4005,48.1862,0.0025
1.145,28.3067,52.521,48.179,0.0025
1.1475,28.4382,52.6414,48.1718,0.0025
1.15,28.5699,52.7618,48.1646,0.0025
1.1525,28.702,52.8822,48.1574,0.0025
1.155,28.8343,53.0026,48.1501,0.0025
1.1575,28.967,53.123,48.1429,0.0025
1.16,29.1,53.2433,48.1356,0.0025
1.1625,29.2332,53.3636,48.1283,0.0025
1.165,29.3668,53.484,48.1211,0.0025
1.1675,29.5006,53.6042,48.1138,0.0025
1.17,29.6348,53.7245,48.1066,0.0025
1.1725,29.7693,53.8448,48.0993,0.0025
1.175,29.904,53.965,48.0921,0.0025
1.1775,30.0391,54.0852,48.0849,0.0025
1.18,30.1744,54.2054,48.0776,0.0025
1.1825,30.3101,54.3256,48.0704,0.0025
1.185,30.4461,54.4458,48.0632,0.0025
1.1875,30.5823,54.5659,48.056,0.0025
1.19,30.7189,54.6861,48.0488,0.0025
1.1925,30.8558,54.8062,48.0416,0.0025
1.195,30.9929,54.9263,48.0344,0.0025
1.1975,31.1304,55.0464,48.0273,0.0025
1.2,31.2682,55.1664,48.0201,0.0025
1.2025,31.4062,55.2865,48.0125,0.0025
1.205,31.5446,55.4065,48.0048,0.0025
1.2075,31.6833,55.5265,47.9972,0.0025
1.21,31.8222,55.6465,47.9896,0.0025
1.2125,31.9615,55.7664,47.982,0.0025
1.215,32.1011,55.8864,47.9744,0.0025
1.2175,32.2409,56.0063,47.9668,0.0025
1.22,32.3811,56.1262,47.9593,0.0025
1.2225,32.5216,56.2461,47.9517,0.0025
1.225,32.6623,56.366,47.9442,0.0025
1.2275,32.8034,56.4858,47.9367,0.0025
1.23,32.9448,56.6057,47.9293,0.0025
1.2325,33.0864,56.7255,47.9218,0.0025
1.235,33.2284,56.8453,47.9144,0.0025
1.2375,33.3706,56.965,47.907,0.0025
1.24,33.5132,57.0848,47.8996,0.0025
1.2425,33.6561,57.2045,47.8923,0.0025
1.245,33.7992,57.3243,47.885,0.0025
1.2475,33.9427,57.444,47.8777,0.0025
1.25,34.0864,57.5636,47.8705,0.0025
1.2525,34.2305,57.6833,47.8639,0.0025
1.255,34.3749,57.803,47.8573,0.0025
1.2575,34.5195,57.9226,47.8508,0.0025
1.26,34.6645,58.0422,47.8443,0.0025
1.2625,34.8097,58.1618,47.8378,0.0025
1.265,34.9553,58.2814,47.8314,0.0025
1.2675,35.1011,58.401,47.8251,0.0025
1.27,35.2473,58.5205,47.8188,0.0025
1.2725,35.3937,58.6401,47.8125,0.0025
1.275,35.5405,58.7596,47.8063,0.0025
1.2775,35.6875,58.8791,47.8001,0.0025
1.28,35.8349,58.9986,47.794,0.0025
1.2825,35.9825,59.1181,47.7879,0.0025
1.285,36.1305,59.2375,47.7819,0.0025
1.2875,36.2787,59.357,47.7759,0.0025
1.29,36.4273,59.4764,47.77,0.0025
1.2925,36.5761,59.5958,47.7641,0.0025
1.295,36.7252,59.7152,47.7583,0.0025
1.2975,36.8747,59.8346,47.7525,0.0025
1.3,37.0244,59.954,47.7468,0.0025
1.3025,37.1744,60.0734,47.7414,0.0025
1.305,37.3248,60.1927,47.736,0.0025
1.3075,37.4754,60.312,47.7306,0.0025
1.31,37.6263,60.4314,47.7253,0.0025
1.3125,37.7776,60.5507,47.7201,0.0025
1.315,37.9291,60.67,47.7149,0.0025
1.3175,38.0809,60.7892,47.7098,0.0025
1.32,38.233,60.9085,47.7047,0.0025
1.3225,38.3855,61.0278,47.6997,0.0025
1.325,38.5382,61.147,47.6947,0.0025
1.3275,38.6912,61.2662,47.6898,0.0025
1.33,38.8445,61.3855,47.6849,0.0025
1.3325,38.9981,61.5047,47.6801,0.0025
1.335,39.152,61.6239,47.6753,0.0025
1.3375,39.3062,61.743,47.6706,0.0025
1.34,39.4608,61.8622,47.666,0.0025
1.3425,39.6156,61.9814,47.6614,0.0025
1.345,39.7707,62.1005,47.6568,0.0025
1.3475,39.9261,62.2197,47.6523,0.0025
1.35,40.0818,62.3388,47.6479,0.0025
1.3525,40.2378,62.4579,47.6435,0.0025
1.355,40.394,62.577,47.6391,0.0025
1.3575,40.5506,62.6961,47.6348,0.0025
1.36,40.7075,62.8152,47.6306,0.0025
1.3625,40.8647,62.9342,47.6264,0.0025
1.365,41.0222,63.0533,47.6222,0.0025
1.3675,41.18,63.1724,47.6181,0.0025
1.37,41.3381,63.2914,47.6141,0.0025
1.3725,41.4964,63.4104,47.61,0.0025
1.375,41.6551,63.5294,47.6061,0.0025
1.3775,41.8141,63.6485,47.6021,0.0025
1.38,41.9734,63.7675,47.5983,0.0025
1.3825,42.1329,63.8864,47.5944,0.0025
1.385,42.2928,64.0054,47.5906,0.0025
1.3875,42.4529,64.1244,47.5869,0.0025
1.39,42.6134,64.2434,47.5831,0.0025
1.3925,42.7742,64.3623,47.5795,0.0025
1.395,42.9352,64.4813,47.5758,0.0025
1.3975,43.0966,64.6002,47.5722,0.0025
1.4,43.2582,64.7191,47.5686,0.0025
1.4025,43.4202,64.838,47.5648,0.0025
1.405,43.5824,64.9569,47.5611,0.0025
1.4075,43.745,65.0758,47.5573,0.0025
1.41,43.9078,65.1947,47.5536,0.0025
1.4125,44.0709,65.3136,47.55,0.0025
1.415,44.2344,65.4325,47.5463,0.0025
1.4175,44.3981,65.5513,47.5427,0.0025
1.42,44.5621,65.6702,47.5392,0.0025
1.4225,44.7264,65.789,47.5356,0.0025
1.425,44.8911,65.9079,47.5321,0.0025
1.4275,45.056,66.0267,47.5286,0.0025
1.43,45.2212,66.1455,47.5251,0.0025
1.4325,45.3867,66.2643,47.5217,0.0025
1.435,45.5525,66.3831,47.5183,0.0025
1.4375,45.7186,66.5019,47.5149,0.0025
1.44,45.885,66.6207,47.5115,0.0025
1.4425,46.0517,66.7395,47.5082,0.0025
1.445,46.2187,66.8582,47.5048,0.0025
